Country Name,Country Code,Series Name,Series Code,2022Q4 [YR2022Q4],2023Q1 [YR2023Q1],2023Q2 [YR2023Q2],2023Q3 [YR2023Q3],2023Q4 [YR2023Q4],2024Q1 [YR2024Q1],2024Q2 [YR2024Q2],2024Q3 [YR2024Q3],2024Q4 [YR2024Q4],2025Q1 [YR2025Q1]
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, Other debt instruments, USD",DT.DOD.DSOO.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Assets in Debt Instruments, Other Sectors, Short-term, Trade credit and advances, USD",DT.DOD.DSTT.CD.OT.AR.EA.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, Immediate, All instruments, Interest, USD",DT.INT.DECT.CD.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, Immediate, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, Immediate, All instruments, Principal, USD",DT.AMT.DECT.CD.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 0 to 3, All instruments, Interest, USD",DT.INT.DECT.CD.03.US,922000000,805000000,805000000,725000000,725000000,780000000,730000000,810000000,660000000,710000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 0 to 3, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.03.US,12635000000,12593000000,11247000000,12108000000,12829000000,13165000000,13665000000,14263000000,15944000000,17116000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 0 to 3, All instruments, Principal, USD",DT.AMT.DECT.CD.03.US,11713000000,11788000000,10442000000,11383000000,12104000000,12385000000,12935000000,13453000000,15284000000,16406000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 12 to 18, All instruments, Interest, USD",DT.INT.DECT.CD.1218.US,961000000,891000000,891000000,995000000,1060000000,1070000000,1070000000,1090000000,990000000,1010000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 12 to 18, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.1218.US,7200000000,7645000000,6091000000,6640000000,6760000000,5680000000,6130000000,4650000000,5592000000,4320000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 12 to 18, All instruments, Principal, USD",DT.AMT.DECT.CD.1218.US,6239000000,6754000000,5200000000,5645000000,5700000000,4610000000,5060000000,3560000000,4602000000,3310000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 18 to 24, All instruments, Interest, USD",DT.INT.DECT.CD.1824.US,948000000,883000000,883000000,995000000,1060000000,1070000000,1070000000,1090000000,990000000,1010000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 18 to 24, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.1824.US,3998000000,6164000000,4553000000,6045000000,5670000000,6185000000,5528000000,4828000000,4301000000,5810000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 18 to 24, All instruments, Principal, USD",DT.AMT.DECT.CD.1824.US,3050000000,5281000000,3670000000,5050000000,4610000000,5115000000,4458000000,3738000000,3311000000,4800000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 2yrs, All instruments, Interest, USD",DT.INT.DECT.CD.24P.US,2641000000,2621000000,2621000000,2566000000,2566000000,2566000000,2566000000,2566000000,2716000000,2716000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 2yrs, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.24P.US,109603000000,107423000000,102643000000,100134000000,101866000000,102294000000,107068000000,117119000000,106191000000,107583000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 2yrs, All instruments, Principal, USD",DT.AMT.DECT.CD.24P.US,106962000000,104802000000,100022000000,97568000000,99300000000,99728000000,104502000000,114553000000,103475000000,104867000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 3 to 6, All instruments, Interest, USD",DT.INT.DECT.CD.36.US,922000000,815000000,815000000,725000000,725000000,780000000,730000000,810000000,660000000,710000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 3 to 6, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.36.US,13537000000,11807000000,12757000000,12286000000,13049000000,13365000000,13255000000,15556000000,13052000000,15944000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 3 to 6, All instruments, Principal, USD",DT.AMT.DECT.CD.36.US,12615000000,10992000000,11942000000,11561000000,12324000000,12585000000,12525000000,14746000000,12392000000,15234000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 6 to 9, All instruments, Interest, USD",DT.INT.DECT.CD.69.US,912000000,815000000,815000000,725000000,725000000,780000000,730000000,810000000,660000000,710000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 6 to 9, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.69.US,12925000000,11403000000,12371000000,12108000000,12974000000,13765000000,13106000000,13358000000,17165000000,13428000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 6 to 9, All instruments, Principal, USD",DT.AMT.DECT.CD.69.US,12013000000,10588000000,11556000000,11383000000,12249000000,12985000000,12376000000,12548000000,16505000000,12718000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 9 to 12, All instruments, Interest, USD",DT.INT.DECT.CD.0912.US,902000000,815000000,815000000,725000000,725000000,780000000,720000000,810000000,660000000,710000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 9 to 12, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.0912.US,12931000000,13511000000,13548000000,14231000000,12519000000,11699000000,12716000000,14526000000,13470000000,16426000000
South Africa,ZAF,"Ext. Debt Service Pmt, All Sectors, More than 9 to 12, All instruments, Principal, USD",DT.AMT.DECT.CD.0912.US,12029000000,12696000000,12733000000,13506000000,11794000000,10919000000,11996000000,13716000000,12810000000,15716000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, Immediate, All instruments, Interest, USD",DT.INT.DECT.CD.MA.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, Immediate, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, Immediate, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 0 to 3, All instruments, Interest, USD",DT.INT.DECT.CD.MA.03.US,20000000,15000000,15000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 0 to 3, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.03.US,203000000,152000000,227000000,199000000,181000000,141000000,145000000,146000000,192000000,138000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 0 to 3, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.03.US,183000000,137000000,212000000,189000000,171000000,131000000,135000000,136000000,182000000,128000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 12 to 18, All instruments, Interest, USD",DT.INT.DECT.CD.MA.1218.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 12 to 18, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.1218.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 12 to 18, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.1218.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 18 to 24, All instruments, Interest, USD",DT.INT.DECT.CD.MA.1824.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 18 to 24, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.1824.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 18 to 24, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.1824.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 2yrs, All instruments, Interest, USD",DT.INT.DECT.CD.MA.24P.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 2yrs, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.24P.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 2yrs, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.24P.US,..,..,..,..,..,..,..,..,..,..
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 3 to 6, All instruments, Interest, USD",DT.INT.DECT.CD.MA.36.US,20000000,15000000,15000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 3 to 6, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.36.US,203000000,152000000,227000000,199000000,181000000,141000000,145000000,146000000,192000000,138000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 3 to 6, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.36.US,183000000,137000000,212000000,189000000,171000000,131000000,135000000,136000000,182000000,128000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 6 to 9, All instruments, Interest, USD",DT.INT.DECT.CD.MA.69.US,20000000,15000000,15000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 6 to 9, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.69.US,203000000,152000000,227000000,199000000,181000000,141000000,145000000,146000000,192000000,138000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 6 to 9, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.69.US,183000000,137000000,212000000,189000000,171000000,131000000,135000000,136000000,182000000,128000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 9 to 12, All instruments, Interest, USD",DT.INT.DECT.CD.MA.0912.US,20000000,15000000,15000000,10000000,10000000,10000000,10000000,10000000,10000000,10000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 9 to 12, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.MA.0912.US,204000000,154000000,229000000,199000000,183000000,144000000,146000000,146000000,190000000,136000000
South Africa,ZAF,"Ext. Debt Service Pmt, Central Bank, More than 9 to 12, All instruments, Principal, USD",DT.AMT.DECT.CD.MA.0912.US,184000000,139000000,214000000,189000000,173000000,134000000,136000000,136000000,180000000,126000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Interest, USD",DT.INT.DECT.CD.CB.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.CB.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, Immediate, All instruments, Principal, USD",DT.AMT.DECT.CD.CB.IQ.US,0,0,0,0,0,0,0,0,0,0
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Interest, USD",DT.INT.DECT.CD.CB.03.US,360000000,300000000,300000000,290000000,300000000,350000000,300000000,320000000,280000000,300000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.CB.03.US,6663000000,6562000000,5728000000,6225000000,6296000000,6499000000,6828000000,7754000000,7246000000,7748000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 0 to 3, All instruments, Principal, USD",DT.AMT.DECT.CD.CB.03.US,6303000000,6262000000,5428000000,5935000000,5996000000,6149000000,6528000000,7434000000,6966000000,7448000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Interest, USD",DT.INT.DECT.CD.CB.1218.US,365000000,300000000,300000000,290000000,300000000,300000000,300000000,320000000,320000000,340000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.CB.1218.US,399000000,917000000,1300000000,490000000,500000000,600000000,500000000,320000000,422000000,390000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 12 to 18, All instruments, Principal, USD",DT.AMT.DECT.CD.CB.1218.US,34000000,617000000,1000000000,200000000,200000000,300000000,200000000,0,102000000,50000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Interest, USD",DT.INT.DECT.CD.CB.1824.US,365000000,300000000,300000000,290000000,300000000,300000000,300000000,320000000,320000000,340000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.CB.1824.US,385000000,1381000000,500000000,490000000,500000000,500000000,700000000,500000000,373000000,840000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 18 to 24, All instruments, Principal, USD",DT.AMT.DECT.CD.CB.1824.US,20000000,1081000000,200000000,200000000,200000000,200000000,400000000,180000000,53000000,500000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Interest, USD",DT.INT.DECT.CD.CB.24P.US,920000000,900000000,900000000,860000000,860000000,860000000,860000000,860000000,860000000,860000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.CB.24P.US,4671000000,3100000000,2680000000,4109000000,3965000000,4029000000,3601000000,4201000000,4201000000,3737000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 2yrs, All instruments, Principal, USD",DT.AMT.DECT.CD.CB.24P.US,3751000000,2200000000,1780000000,3249000000,3105000000,3169000000,2741000000,3341000000,3341000000,2877000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Interest, USD",DT.INT.DECT.CD.CB.36.US,360000000,300000000,300000000,290000000,300000000,350000000,300000000,320000000,280000000,300000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Prin. and Int., USD",DT.TDS.DECT.CD.CB.36.US,7164000000,6061000000,6228000000,6225000000,6389000000,6499000000,6828000000,7754000000,7246000000,7748000000
South Africa,ZAF,"Ext. Debt Service Pmt, Deposit-Taking Corp., exc. CB, More than 3 to 6, All instruments, Principal, USD",DT.AMT.DECT.CD.CB.36.US,6804000000,5761000000,5928000000,5935000000,6089000000,6149000000,6528000000,7434000000,6966000000,7448000000
